Data da Venda,Nome do Produto,Quantidade Vendida,Valor Unitário (R$),Valor Total (R$),Franquia,Nome do Vendedor,Localização da Franquia,Canal de Venda
2023-06-01,Chocolate Com Amêndoas,2,22.31,44.62,ChocoFranq 1,Dr. Enzo Gabriel Fogaça,BA,Online
2023-06-06,Chocolate Com Morango,20,29.42,588.4,ChocoFranq 6,Dr. Enzo Gabriel Fogaça,RJ,Franquia
2023-10-01,Chocolate Vegano,13,26.66,346.58,ChocoFranq 8,Ana Júlia Santos,BA,Online
2023-01-29,Chocolate Branco,19,43.42,824.98,ChocoFranq 2,Alexandre Freitas,MG,Online
2023-09-28,Chocolate Com Caramelo,9,20.32,182.88,ChocoFranq 4,Lorenzo Silva,DF,Franquia
2023-05-23,Chocolate Com Morango,14,17.73,248.22,ChocoFranq 7,Sr. Breno Silva,CE,Franquia
2023-10-18,Chocolate Trufado,20,16.38,327.6,ChocoFranq 5,Catarina Farias,SC,Online
2023-05-24,Chocolate Com Caramelo,16,40.05,640.8,ChocoFranq 5,Guilherme Porto,PE,Franquia
2023-06-29,Chocolate Com Amêndoas,6,30.0,180.0,ChocoFranq 7,Dr. Enzo Gabriel Fogaça,PE,Franquia
2023-12-08,Chocolate Com Castanha,5,47.04,235.2,ChocoFranq 5,Valentina Teixeira,CE,Franquia
2023-02-09,Chocolate Com Avelã,4,15.27,61.08,ChocoFranq 5,Alexandre Freitas,RJ,Franquia
2023-04-16,Chocolate Vegano,14,33.47,468.58,ChocoFranq 2,Luiz Gustavo Carvalho,SP,Online
2023-06-25,Chocolate Meio Amargo,12,25.86,310.32,ChocoFranq 9,Juliana Pinto,MG,Franquia
2023-01-13,Chocolate Branco,14,38.92,544.88,ChocoFranq 5,Dr. Enzo Gabriel Fogaça,PR,Online
2023-04-17,Chocolate Trufado,20,10.4,208.0,ChocoFranq 9,Henrique Araújo,DF,Franquia
2023-04-01,Chocolate Com Avelã,17,47.26,803.42,ChocoFranq 9,Leandro Moreira,PE,Franquia
2024-03-12,Chocolate Diet,17,37.07,630.19,ChocoFranq 8,Calebe Freitas,RJ,Franquia
2023-05-17,Chocolate Vegano,4,16.32,65.28,ChocoFranq 1,Rafael Moura,PR,Franquia
2024-02-04,Chocolate Com Avelã,7,11.99,83.93,ChocoFranq 4,Juliana Pinto,CE,Online
2023-06-17,Chocolate Com Castanha,17,18.79,319.43,ChocoFranq 2,Lorenzo Silva,CE,Online
2023-04-06,Chocolate Zero Açúcar,7,7.96,55.72,ChocoFranq 4,Catarina Farias,BA,Franquia
2024-02-28,Chocolate 70% Cacau,6,19.12,114.72,ChocoFranq 1,Isaac Costa,SC,Franquia
2023-01-02,Chocolate Zero Açúcar,14,44.03,616.42,ChocoFranq 4,Juliana Farias,RS,Franquia
2023-05-23,Chocolate Meio Amargo,12,20.08,240.96,ChocoFranq 10,Isaac Costa,RS,Franquia
2024-01-19,Chocolate Com Menta,3,38.05,114.15,ChocoFranq 8,Henrique Araújo,RS,Franquia
2023-10-12,Chocolate Diet,15,49.97,749.55,ChocoFranq 7,Guilherme Porto,SC,Online
2023-03-02,Chocolate Com Morango,13,44.94,584.22,ChocoFranq 10,Fernando Silva,CE,Online
2023-07-21,Chocolate Com Caramelo,14,8.62,120.68,ChocoFranq 6,Catarina Farias,BA,Franquia
2023-05-06,Chocolate Diet,7,42.64,298.48,ChocoFranq 4,João Gabriel Cavalcanti,PE,Franquia
2023-03-31,Chocolate Com Avelã,8,32.25,258.0,ChocoFranq 4,Rafaela Peixoto,PE,Online
2024-03-27,Chocolate Vegano,16,36.72,587.52,ChocoFranq 5,Davi Lucas Costa,CE,Franquia
2024-02-09,Chocolate Diet,15,18.03,270.45,ChocoFranq 3,Henrique Araújo,RJ,Online
2023-01-14,Chocolate Com Amêndoas,5,16.38,81.9,ChocoFranq 6,Dr. Ryan Caldeira,PR,Franquia
2023-05-08,Chocolate Recheado,17,5.9,100.3,ChocoFranq 1,Dr. Ryan Caldeira,DF,Online
2023-01-21,Chocolate Com Avelã,7,7.77,54.39,ChocoFranq 1,Lorenzo Silva,CE,Online
2024-01-04,Chocolate Com Menta,15,22.7,340.5,ChocoFranq 6,Alexandre Freitas,BA,Franquia
2023-04-15,Chocolate Ao Leite,11,27.16,298.76,ChocoFranq 5,Rafaela Peixoto,MG,Online
2023-09-18,Chocolate Com Morango,20,7.16,143.2,ChocoFranq 9,Dr. Ryan Caldeira,SP,Franquia
2023-08-21,Chocolate Meio Amargo,12,49.76,597.12,ChocoFranq 8,Leandro Moreira,MG,Online
2023-07-14,Chocolate Com Amêndoas,17,44.01,748.17,ChocoFranq 6,Juliana Farias,RS,Online
2023-07-19,Chocolate Zero Açúcar,15,25.65,384.75,ChocoFranq 2,Leandro Oliveira,DF,Franquia
2023-10-27,Chocolate Trufado,17,34.37,584.29,ChocoFranq 1,Luiz Gustavo Carvalho,PE,Franquia
2023-12-21,Chocolate Ao Leite,8,44.15,353.2,ChocoFranq 5,Juliana Farias,SC,Franquia
2023-05-07,Chocolate Recheado,12,38.95,467.4,ChocoFranq 7,Maria Fernanda Costa,RJ,Franquia
2023-11-01,Chocolate Vegano,5,13.62,68.1,ChocoFranq 3,Lorenzo Silva,PE,Online
2023-07-09,Chocolate Branco,11,38.63,424.93,ChocoFranq 6,Valentina Teixeira,CE,Franquia
2024-04-07,Chocolate Diet,7,7.39,51.73,ChocoFranq 9,Dr. Enzo Gabriel Fogaça,SP,Franquia
2023-09-21,Chocolate Com Caramelo,4,49.14,196.56,ChocoFranq 3,Fernando Silva,MG,Online
2023-11-09,Chocolate Com Amêndoas,12,24.19,290.28,ChocoFranq 5,Alexandre Freitas,BA,Online
2024-01-06,Chocolate Meio Amargo,12,43.14,517.68,ChocoFranq 8,Lorenzo Silva,RJ,Online
2023-07-16,Chocolate Diet,3,23.1,69.3,ChocoFranq 2,Henrique Araújo,PR,Online
2024-03-11,Chocolate Recheado,1,41.36,41.36,ChocoFranq 9,Alexandre Freitas,PR,Franquia
2023-08-14,Chocolate Vegano,16,16.92,270.72,ChocoFranq 10,Leandro Moreira,MG,Online
2023-05-17,Chocolate Com Castanha,14,48.32,676.48,ChocoFranq 2,Calebe Freitas,CE,Franquia
2023-08-06,Chocolate Vegano,6,6.25,37.5,ChocoFranq 6,Leandro Oliveira,PR,Online
2024-02-19,Chocolate Vegano,12,38.46,461.52,ChocoFranq 5,Lorenzo Silva,CE,Franquia
2023-09-22,Chocolate Diet,4,10.03,40.12,ChocoFranq 3,Ana Júlia Santos,SP,Franquia
2024-05-12,Chocolate Branco,4,47.94,191.76,ChocoFranq 7,Lorenzo Silva,BA,Franquia
2023-09-21,Chocolate Com Caramelo,15,40.74,611.1,ChocoFranq 3,Maria Fernanda Costa,RS,Online
2023-02-14,Chocolate Com Caramelo,16,19.5,312.0,ChocoFranq 4,Dr. Ryan Caldeira,MG,Online
2023-02-05,Chocolate Com Castanha,20,29.67,593.4,ChocoFranq 5,Luiz Gustavo Carvalho,RJ,Franquia
2024-03-04,Chocolate Trufado,19,21.25,403.75,ChocoFranq 6,Kamilly Sales,PE,Franquia
2024-03-29,Chocolate Zero Açúcar,17,9.69,164.73,ChocoFranq 9,Guilherme Porto,RS,Online
2023-01-13,Chocolate Com Castanha,2,49.12,98.24,ChocoFranq 9,Olivia da Mota,DF,Online
2023-04-04,Chocolate Recheado,16,41.06,656.96,ChocoFranq 9,Catarina Farias,BA,Online
2023-11-21,Chocolate Com Menta,4,6.0,24.0,ChocoFranq 4,Alexandre Freitas,DF,Franquia
2023-03-14,Chocolate Com Avelã,2,34.84,69.68,ChocoFranq 4,Davi Lucas Costa,PE,Franquia
2023-09-23,Chocolate Com Morango,20,40.59,811.8,ChocoFranq 6,Rafaela Peixoto,PR,Online
2024-01-31,Chocolate Zero Açúcar,16,34.73,555.68,ChocoFranq 1,Valentina Teixeira,SC,Franquia
2023-02-16,Chocolate Com Amêndoas,3,48.56,145.68,ChocoFranq 4,Marcela Dias,RS,Online
2023-08-29,Chocolate Trufado,20,34.97,699.4,ChocoFranq 3,Maria Fernanda Costa,PR,Online
2023-06-03,Chocolate Zero Açúcar,10,13.21,132.1,ChocoFranq 1,Alexandre Freitas,MG,Online
2023-05-29,Chocolate Branco,18,24.61,442.98,ChocoFranq 9,Juliana Pinto,PE,Online
2024-02-24,Chocolate Diet,19,41.62,790.78,ChocoFranq 3,Alexandre Freitas,RS,Online
2023-08-31,Chocolate Com Amêndoas,13,7.27,94.51,ChocoFranq 1,Sr. Breno Silva,SP,Franquia
2023-05-06,Chocolate Com Caramelo,15,49.71,745.65,ChocoFranq 9,Ana Júlia Santos,SP,Franquia
2023-07-25,Chocolate Com Castanha,15,23.69,355.35,ChocoFranq 9,Nicole Rodrigues,RS,Franquia
2023-11-01,Chocolate Trufado,4,36.65,146.6,ChocoFranq 3,Catarina Farias,SC,Franquia
2023-05-08,Chocolate Com Morango,8,29.66,237.28,ChocoFranq 5,Valentina Teixeira,SP,Franquia
2023-01-11,Chocolate Recheado,5,46.48,232.4,ChocoFranq 9,Nicolas Rezende,MG,Franquia
2023-01-23,Chocolate Ao Leite,7,47.29,331.03,ChocoFranq 2,Dr. Enzo Gabriel Fogaça,BA,Online
2024-01-17,Chocolate Branco,3,39.32,117.96,ChocoFranq 2,Rafael Moura,PE,Online
2023-09-07,Chocolate Diet,10,9.48,94.8,ChocoFranq 10,Guilherme Porto,SP,Online
2024-01-19,Chocolate Com Castanha,11,12.36,135.96,ChocoFranq 4,Juliana Pinto,MG,Franquia
2023-09-09,Chocolate Com Castanha,13,25.72,334.36,ChocoFranq 5,Juliana Farias,SP,Franquia
2024-04-06,Chocolate Com Avelã,2,19.35,38.7,ChocoFranq 2,Valentina Teixeira,SC,Franquia
2024-03-14,Chocolate 70% Cacau,3,45.08,135.24,ChocoFranq 6,Sr. Breno Silva,CE,Franquia
2023-12-05,Chocolate Zero Açúcar,10,42.18,421.8,ChocoFranq 5,Sr. Breno Silva,DF,Franquia
2023-10-30,Chocolate Branco,5,23.74,118.7,ChocoFranq 8,Henrique Araújo,PR,Franquia
2023-05-03,Chocolate Trufado,5,10.83,54.15,ChocoFranq 4,Guilherme Porto,DF,Franquia
2024-03-29,Chocolate Trufado,17,35.17,597.89,ChocoFranq 2,Isadora Moura,MG,Online
2024-01-18,Chocolate Com Amêndoas,15,45.14,677.1,ChocoFranq 7,Kamilly Sales,CE,Online
2023-01-19,Chocolate Zero Açúcar,1,42.84,42.84,ChocoFranq 5,Rafaela Peixoto,PE,Franquia
2023-02-25,Chocolate Zero Açúcar,20,13.25,265.0,ChocoFranq 7,Marcela Dias,RJ,Online
2023-12-13,Chocolate 70% Cacau,13,12.92,167.96,ChocoFranq 1,Isadora Moura,RJ,Online
